Age,Branch,Study_Hours_per_Day,Sleep_Hours,Screen_Time_Hours,Gym_Hours_per_Week,Diet_Type,Attendance_Percentage,Stress_Level_1_to_10,Residence,Internal_Marks,CGPA
20,Civil,2.54,8.12,4.61,7.82,Veg,81.98,1.0,Hosteller,66.33,7.59
20,Civil,5.47,7.64,5.8,1.8,Non-Veg,89.21,4.89,Hosteller,80.07,8.21
21,CSE,3.54,6.34,5.87,11.26,Non-Veg,75.6,4.98,Hosteller,61.61,6.83
20,IT,2.51,6.81,1.98,10.95,Veg,74.67,3.85,Day Scholar,51.11,6.66
24,Electrical,3.91,6.05,3.2,8.97,Veg,79.58,4.29,Hosteller,66.73,6.96
22,Mechanical,5.91,3.09,5.01,6.89,Veg,88.73,7.94,Hosteller,69.77,6.69
22,IT,4.95,6.52,3.89,10.69,Veg,75.68,4.83,Day Scholar,72.73,7.99
24,IT,4.33,6.87,8.41,11.43,Veg,76.53,5.32,Day Scholar,63.46,6.92
23,Electrical,2.01,4.56,2.54,9.55,Non-Veg,69.35,5.08,Day Scholar,45.71,5.51
24,CSE,6.43,7.1,3.18,0.0,Veg,83.72,7.0,Day Scholar,81.08,9.14
18,CSE,3.07,6.16,5.58,2.59,Non-Veg,72.4,4.62,Day Scholar,62.43,6.66
25,CSE,5.4,6.91,3.74,5.5,Veg,84.5,6.84,Hosteller,69.61,7.11
17,CSE,3.51,6.2,1.0,0.0,Non-Veg,73.66,3.54,Hosteller,63.09,6.76
24,Civil,5.26,8.0,8.87,8.25,Non-Veg,90.14,3.06,Hosteller,82.93,8.2
20,CSE,5.96,6.77,2.85,14.9,Non-Veg,85.4,6.56,Day Scholar,79.48,8.78
20,Civil,4.97,7.7,6.12,14.01,Non-Veg,85.3,3.22,Day Scholar,75.95,9.06
21,Civil,5.13,7.8,2.49,11.14,Non-Veg,83.9,3.07,Day Scholar,67.2,8.07
24,CSE,3.85,5.16,3.27,11.08,Non-Veg,78.67,6.92,Hosteller,63.53,6.37
21,ECE,3.35,5.61,1.75,19.41,Non-Veg,84.78,4.99,Day Scholar,70.27,7.25
24,Mechanical,4.21,7.04,3.52,11.73,Veg,81.94,4.19,Day Scholar,60.67,7.65
17,IT,3.49,6.06,3.71,12.18,Veg,79.32,4.48,Day Scholar,59.41,6.72
25,Civil,7.7,6.21,4.73,0.0,Veg,94.68,8.38,Hosteller,84.36,9.47
22,Electrical,2.51,8.04,4.25,14.46,Non-Veg,75.69,2.68,Day Scholar,53.46,6.36
19,Electrical,5.5,6.13,2.12,9.23,Veg,90.44,4.86,Day Scholar,77.42,9.39
24,Mechanical,4.78,5.34,3.95,6.55,Non-Veg,86.32,4.88,Hosteller,63.62,7.5
25,Electrical,4.34,5.5,7.89,5.17,Non-Veg,75.68,4.91,Day Scholar,66.15,7.88
22,ECE,6.22,9.12,7.66,3.93,Veg,88.17,4.39,Day Scholar,70.81,8.64
23,Electrical,4.45,6.29,5.91,14.04,Veg,89.41,6.97,Day Scholar,62.4,6.47
17,IT,3.05,4.86,6.33,6.84,Non-Veg,71.8,6.05,Hosteller,50.42,5.45
21,IT,4.44,4.38,9.12,4.13,Veg,90.04,7.65,Day Scholar,53.4,6.19
21,Civil,3.73,5.75,6.14,2.68,Non-Veg,75.89,4.89,Day Scholar,53.28,7.07
20,CSE,4.75,6.26,6.29,7.96,Veg,84.52,4.16,Hosteller,74.03,8.39
22,ECE,5.22,7.64,1.87,4.99,Non-Veg,85.16,5.1,Hosteller,68.08,7.28
23,Civil,2.71,7.52,2.77,3.71,Veg,69.33,4.21,Day Scholar,58.83,6.95
25,ECE,5.79,6.49,4.93,0.0,Non-Veg,84.81,6.06,Hosteller,69.88,8.4
17,CSE,3.62,5.95,3.39,12.37,Veg,74.57,4.1,Day Scholar,68.43,7.67
22,Electrical,4.67,6.91,3.0,6.23,Veg,84.07,4.52,Hosteller,70.11,7.6
23,Electrical,4.93,4.4,3.24,0.92,Veg,89.08,8.12,Day Scholar,45.66,6.18
19,CSE,4.55,8.88,2.15,5.48,Veg,83.17,2.79,Day Scholar,84.39,8.62
24,Civil,3.84,7.28,3.42,10.08,Non-Veg,79.01,4.46,Day Scholar,61.37,7.51
21,CSE,3.27,7.54,5.68,7.16,Non-Veg,82.39,2.69,Hosteller,72.69,8.31
25,Mechanical,3.6,5.21,8.59,8.07,Veg,78.19,5.14,Hosteller,60.37,6.05
21,IT,6.35,8.04,6.59,7.24,Veg,89.02,5.54,Day Scholar,75.89,8.36
25,Civil,2.7,5.95,6.27,0.0,Veg,68.52,3.21,Day Scholar,61.11,6.18
20,ECE,2.92,5.36,1.75,12.31,Non-Veg,80.96,6.3,Day Scholar,63.09,6.15
25,Mechanical,2.86,6.45,5.24,0.0,Non-Veg,72.63,4.23,Day Scholar,58.28,7.29
21,Civil,4.2,6.42,4.87,9.58,Veg,78.13,3.68,Hosteller,67.45,6.99
25,CSE,1.71,5.21,5.58,10.45,Non-Veg,65.24,2.76,Hosteller,63.19,6.28
19,CSE,1.97,5.43,4.28,5.77,Non-Veg,75.92,4.11,Day Scholar,57.06,6.55
20,CSE,3.61,5.33,8.32,8.98,Non-Veg,75.18,5.46,Hosteller,61.39,6.99
25,CSE,2.07,5.34,5.11,5.45,Non-Veg,75.29,4.03,Hosteller,48.83,6.49
22,ECE,2.19,6.03,5.3,9.05,Non-Veg,69.8,2.96,Hosteller,58.24,6.04
18,Mechanical,2.08,4.83,1.08,12.56,Non-Veg,64.36,4.7,Day Scholar,43.02,6.19
23,Electrical,2.73,5.67,4.79,2.56,Veg,71.99,3.89,Day Scholar,63.45,6.51
18,IT,5.1,7.75,7.3,10.77,Non-Veg,85.32,4.91,Hosteller,70.96,8.67
18,ECE,5.43,7.49,6.11,16.48,Veg,86.59,5.72,Hosteller,81.35,8.27
17,ECE,6.88,5.24,1.0,8.48,Veg,93.69,10.0,Day Scholar,62.89,6.77
19,Electrical,6.82,7.65,4.1,4.18,Veg,92.51,5.66,Day Scholar,86.64,9.07
22,Electrical,5.18,4.14,8.46,19.67,Non-Veg,81.97,8.03,Day Scholar,58.37,6.94
24,IT,5.54,9.41,4.7,7.5,Veg,87.76,1.91,Hosteller,77.77,9.38
25,IT,4.2,8.06,5.64,8.3,Veg,83.69,4.96,Hosteller,60.53,7.71
23,Electrical,4.78,5.83,8.24,8.41,Veg,76.59,3.98,Hosteller,70.01,7.17
20,CSE,6.92,6.96,4.69,9.51,Veg,100.0,8.64,Day Scholar,77.33,8.22
22,ECE,4.56,4.82,6.58,5.1,Veg,64.3,6.83,Day Scholar,63.07,6.62
21,Civil,5.73,6.57,5.82,8.06,Non-Veg,89.03,6.58,Day Scholar,75.59,8.24
24,IT,2.6,6.28,6.25,12.33,Non-Veg,75.32,3.15,Day Scholar,66.88,7.13
17,IT,3.0,5.5,5.76,4.91,Veg,71.99,4.53,Day Scholar,55.57,6.34
17,Electrical,4.47,5.94,3.9,4.65,Non-Veg,71.71,6.12,Hosteller,61.34,6.61
22,Mechanical,4.22,5.82,4.1,5.36,Non-Veg,80.64,3.77,Hosteller,58.99,7.03
18,Civil,3.07,5.14,3.29,0.85,Veg,76.2,4.28,Hosteller,55.29,6.33
21,Civil,7.61,5.47,1.72,3.18,Non-Veg,92.31,8.3,Day Scholar,92.76,8.62
17,IT,4.26,4.77,7.49,2.95,Non-Veg,77.14,6.94,Hosteller,50.15,5.55
23,CSE,3.34,7.53,5.02,7.0,Veg,81.49,2.81,Day Scholar,54.46,7.15
17,Mechanical,4.23,5.38,7.39,11.68,Veg,81.73,6.46,Hosteller,61.88,7.1
20,Civil,4.04,5.03,8.13,15.14,Non-Veg,72.65,6.17,Hosteller,59.9,7.24
25,IT,4.28,7.51,5.11,7.32,Non-Veg,83.66,4.83,Day Scholar,64.97,7.13
17,Civil,1.61,6.94,2.37,9.56,Veg,63.39,1.0,Hosteller,54.33,6.53
20,Mechanical,5.94,7.47,4.61,8.36,Veg,85.82,5.53,Hosteller,80.84,9.1
22,Mechanical,6.02,7.6,3.66,0.0,Veg,91.1,6.53,Hosteller,69.31,8.11
22,ECE,6.21,8.82,1.04,0.57,Non-Veg,91.55,5.29,Hosteller,77.07,8.45
24,Electrical,4.49,6.31,4.0,11.26,Veg,80.43,3.7,Hosteller,72.18,8.37
17,Electrical,4.99,4.75,4.86,11.81,Veg,82.45,6.22,Hosteller,67.77,7.33
23,IT,2.7,6.83,3.71,11.68,Non-Veg,72.25,2.79,Hosteller,77.38,7.52
17,Mechanical,5.25,5.7,3.46,6.0,Veg,82.34,6.32,Day Scholar,56.98,6.97
23,ECE,4.38,5.35,2.44,0.0,Veg,87.33,5.96,Hosteller,67.48,7.1
19,ECE,3.31,6.62,5.39,1.24,Veg,68.7,4.49,Day Scholar,56.02,7.59
24,Civil,5.3,7.54,8.74,2.1,Non-Veg,85.28,5.05,Hosteller,75.27,8.49
19,Civil,5.36,5.5,7.56,10.52,Veg,79.48,7.21,Day Scholar,69.64,7.61
17,ECE,4.09,8.03,6.31,5.0,Non-Veg,85.13,3.73,Day Scholar,74.04,8.64
24,Civil,4.66,5.31,6.35,16.47,Veg,82.08,7.42,Hosteller,52.67,6.85
19,Mechanical,2.45,6.21,4.73,15.22,Veg,66.98,1.0,Day Scholar,63.98,7.13
18,CSE,5.86,6.96,1.39,16.37,Veg,92.75,5.51,Day Scholar,85.92,8.7
17,Mechanical,2.65,6.03,4.26,1.87,Veg,61.8,2.73,Hosteller,57.09,6.42
19,ECE,2.94,4.37,3.06,9.75,Non-Veg,76.11,6.05,Day Scholar,54.21,5.71
18,ECE,4.09,7.61,5.31,4.33,Veg,86.22,3.02,Hosteller,80.94,8.37
18,Mechanical,5.67,5.75,7.47,8.84,Non-Veg,89.26,7.0,Day Scholar,64.97,5.85
22,Civil,5.67,7.39,8.95,2.49,Veg,85.82,6.13,Day Scholar,68.26,8.17
17,Civil,3.99,4.98,5.13,13.87,Non-Veg,73.75,5.41,Day Scholar,57.53,6.92
18,Electrical,5.16,5.19,1.67,2.59,Non-Veg,91.21,7.33,Day Scholar,55.82,6.36
22,ECE,1.47,7.53,5.13,0.0,Non-Veg,71.97,2.49,Hosteller,64.31,6.8
19,IT,2.92,6.91,5.18,18.39,Veg,71.38,3.84,Hosteller,52.08,7.08
20,Electrical,2.95,5.97,6.36,9.48,Veg,71.66,2.39,Hosteller,68.65,7.27
17,Civil,5.88,6.93,4.96,1.01,Veg,95.33,5.66,Hosteller,80.02,8.81
24,Mechanical,4.98,5.36,5.13,6.09,Non-Veg,87.57,6.98,Hosteller,63.97,7.4
23,Civil,4.28,6.63,3.74,3.77,Veg,72.45,5.2,Day Scholar,71.01,7.65
23,Mechanical,4.42,6.65,4.38,7.03,Non-Veg,81.13,4.52,Hosteller,68.51,7.12
19,Electrical,6.35,6.05,6.03,11.5,Non-Veg,90.6,6.66,Day Scholar,77.27,8.01
19,ECE,3.74,5.5,1.0,10.62,Veg,79.96,5.31,Hosteller,66.17,7.34
18,Civil,2.03,6.58,4.37,8.42,Non-Veg,70.17,1.36,Hosteller,64.81,7.02
17,Mechanical,5.63,6.43,6.38,7.03,Non-Veg,85.59,7.3,Hosteller,75.72,8.25
23,ECE,4.27,5.94,8.28,13.04,Non-Veg,82.26,7.2,Hosteller,68.49,6.93
23,IT,5.43,5.26,4.2,0.0,Veg,84.91,7.57,Day Scholar,72.96,7.9
18,Mechanical,3.93,6.51,7.37,2.81,Veg,96.74,4.19,Hosteller,65.09,6.87
23,Electrical,2.74,5.94,8.38,1.52,Veg,74.32,4.74,Day Scholar,61.48,6.33
24,IT,4.6,5.26,4.23,12.64,Non-Veg,82.95,7.12,Day Scholar,69.63,6.65
17,IT,4.02,6.55,3.88,2.86,Non-Veg,89.29,4.19,Hosteller,66.97,7.77
25,CSE,4.28,8.43,4.64,0.0,Veg,74.57,2.8,Day Scholar,80.52,8.04
23,Civil,6.42,6.06,4.84,10.08,Non-Veg,91.57,6.76,Day Scholar,77.48,7.24
19,Mechanical,2.35,8.3,7.18,1.91,Veg,67.01,1.22,Hosteller,68.44,7.89
19,ECE,6.025835382240754,5.964991218050197,3.3254193901388214,3.6043020454659103,Veg,84.50017093247124,8.427481467468336,Day Scholar,61.04015876111441,6.706027579156922
18,IT,2.930460940173916,8.258133221461964,3.036579087312192,13.923865675492612,Non-Veg,72.32226056384329,1.9886612975002702,Hosteller,62.19521968120198,7.210390284371564
17,Electrical,4.25130687054672,5.395066526804492,6.393783770162213,1.7468715451164663,Non-Veg,84.96314986364564,5.5604822541984635,Hosteller,77.09366021350104,7.414367259378761
20,CSE,3.9797579348130774,5.893795889567561,4.510741100021533,4.074389323810446,Non-Veg,75.95281671350978,5.533361448008582,Day Scholar,72.75780316299488,7.1480132087775035
23,CSE,4.537791882532235,4.433550814220592,4.328882865721447,8.197004945204762,Veg,90.88377264431223,4.134266626302083,Hosteller,64.25138884980417,6.890758693354076
23,ECE,1.9774878894239538,5.83949287130958,5.617427200891468,0.20716779596478183,Non-Veg,62.96841514950289,2.6030080132838376,Hosteller,62.67660670176117,7.138607963961726
19,Mechanical,2.379955040799194,7.58929983236439,4.748113052941958,0.0,Veg,82.3781224282595,2.9694902686386278,Hosteller,59.68175107666159,7.139112237042175
17,IT,1.638528390114023,7.776723533860059,3.9862023171689382,8.097610556641603,Veg,68.09733294971004,1.099205581986258,Hosteller,61.10713883787901,6.908311398232726
17,CSE,5.566341828285055,5.525268102551203,6.504886358202034,6.062128743099424,Veg,85.1667264677328,6.980890342256066,Day Scholar,72.69903393728613,7.072447082239087
25,CSE,3.285989956813143,6.021599089159504,3.4831408491759492,9.86284812918479,Veg,65.25597833283801,3.926220949231186,Day Scholar,52.72749562345153,6.070561822422887
21,IT,3.9581014441244937,5.514355309072527,4.422906673754803,9.485468654041757,Veg,80.33839215378241,6.074595663314908,Hosteller,72.69300031720589,7.610836448727195
23,CSE,5.626107925660062,5.489923290437431,4.754350186110507,21.11050288264728,Non-Veg,97.87146389788458,8.78857079214185,Hosteller,54.18011335404795,6.527558408207939
22,IT,5.54857907275287,7.162405635944886,4.57188586066414,6.409396916706893,Non-Veg,86.05316311058772,4.814815292460433,Hosteller,80.58185136668396,8.91916667337509
23,Mechanical,3.936104834026507,6.215777217651587,4.787706240216589,2.370772920590951,Non-Veg,80.14065571833362,4.535063873463768,Day Scholar,54.615260466750364,6.520383016385803
25,Electrical,5.144068938132556,5.304818753656445,2.81244893688401,12.348537291619554,Veg,80.18507335614079,4.598344277693784,Day Scholar,73.4937656020515,7.900906077500819
21,IT,2.561266497162321,7.462596820295144,8.10995394934261,7.726854624585301,Veg,75.52096254023496,3.111104028869592,Hosteller,61.57902353894458,6.935141049118807
17,ECE,1.7985666376487777,5.84840892689658,6.528821748811329,0.53912143018659,Veg,71.39470976832797,3.30784593186156,Hosteller,40.398875958432455,4.479492206879546
20,CSE,3.13525099289717,5.7292685421618685,8.393939884148025,11.818091046442827,Non-Veg,78.88391271750268,4.155622129562862,Day Scholar,69.88408317648927,7.085307290896573
25,IT,4.856530418113915,8.46280269146789,6.284362864460927,12.47353821128058,Veg,85.10961983454924,3.1903116759744847,Day Scholar,86.75030024004691,8.620435375392141
25,ECE,4.563002497582301,5.683260711798608,8.061431765402855,18.118539371919216,Non-Veg,80.9673924055674,7.257406644376495,Hosteller,58.32170980358088,6.060145034881784
20,CSE,3.7975903037883967,7.202355642626757,3.0418893324016447,4.811730783879723,Non-Veg,80.01264985034872,5.459095076875864,Hosteller,67.73183544647813,6.851560921913052
18,ECE,3.611756517341159,7.212079141903118,9.045979718390091,0.09879565381138472,Non-Veg,67.86981163095844,1.1627842424009835,Hosteller,66.89370584399289,7.795210907862414
19,Civil,5.423753264881881,6.785197879497449,7.06896837801004,15.336732364884474,Non-Veg,88.76569620017881,4.885166062248249,Hosteller,68.9623238058623,8.106067188185776
20,ECE,5.511175057232995,6.819560851349906,6.344698922526648,6.401916628477913,Veg,82.11353629392963,5.999189369727157,Hosteller,67.22854906143297,8.335202796494862
17,ECE,2.7132999140747414,6.507285950537918,5.036416093484989,0.0,Veg,69.0786433942547,2.2747880398535982,Day Scholar,59.675649080210555,6.88607612401764
17,ECE,5.80810089328293,6.1365787167937915,4.3628810681820696,0.02884929100280275,Veg,91.7908287918821,6.970321180465441,Hosteller,71.54638798532285,7.993429149409861
18,Mechanical,2.445189952297952,7.461479365171816,4.60309094341635,20.17516443301672,Veg,67.9357477585121,2.3158117103383686,Hosteller,53.22498954843912,6.89622451879295
18,Electrical,3.0207038814376697,7.507080350819829,3.015352525330617,5.247183106969651,Veg,70.96698554983695,4.948485934320534,Hosteller,50.050884661460536,5.87677456565719
20,ECE,4.794932606267988,5.339267211165169,5.5147611738041675,5.853590515811211,Veg,77.01298569797488,6.889885527927852,Hosteller,66.3322300312819,7.463060710446914
20,Civil,3.9596847462375924,5.0320762150716165,8.075647302914671,14.994708565052719,Non-Veg,71.77095561364928,6.1012199553112945,Hosteller,59.91559341241412,7.285270923764013
19,Mechanical,5.000106411650868,6.349995615738725,4.076574207806881,2.005658598584426,Veg,90.65079360359846,8.018782810581659,Day Scholar,57.63987087201244,6.310568181010154
18,CSE,2.773141796308607,6.970318666413537,3.1532422738689068,9.02486841991456,Veg,78.05449463536725,1.925749820737687,Day Scholar,78.0235144443773,7.764004453904074
20,Electrical,5.463182290844045,5.227338965305569,4.969405529514416,6.0543519042420435,Veg,96.61773291801971,7.3995194012237615,Hosteller,74.29992328823587,7.254072014505336
20,Mechanical,3.4494117947594467,5.500784153029627,3.813341202712825,6.969569384345139,Veg,81.30116088505495,4.410571496815894,Hosteller,59.742823114496495,5.796244228148772
22,IT,4.52656908083314,6.923555758782518,4.533241337862079,3.0269080415119984,Non-Veg,80.71310618422177,4.247028734587759,Hosteller,80.72851114938176,9.002264014023043
19,IT,3.8156046916427737,5.356938913095282,5.337103907393507,7.1571586334488515,Veg,70.5286035451447,4.520016853618078,Day Scholar,65.37579051166091,7.165981780120102
23,IT,3.9068428729895444,4.089350031303806,2.8313751377140584,13.01345072570127,Veg,74.59494345747575,9.74334294106944,Day Scholar,36.77550559238123,5.017507687291076
23,CSE,0.8517869445001308,8.430276104939377,7.100075428584903,13.880550642432638,Non-Veg,57.930668960235245,1.1363505229100341,Day Scholar,53.946811146778515,5.818591455076404
19,Mechanical,5.196076541194111,5.661963381359081,4.388409502806816,9.432980143940474,Veg,86.36429339955073,5.338354130463009,Day Scholar,70.28926482985783,8.112731866445277
21,Electrical,2.503959560048809,6.297544806856006,5.705587563960717,5.672256008444524,Veg,70.06663513980514,3.9092427208301523,Day Scholar,60.865778146930964,6.468948734624412
20,Electrical,5.7380262306429985,5.506785795349617,6.657388019349915,5.236104220910048,Veg,92.78158492607673,7.6619353827613415,Hosteller,70.81450195823719,7.495590572997619
23,Mechanical,4.827131672377792,6.7994628354759845,7.421887641234435,13.64153318731871,Non-Veg,84.90287505712288,6.679930149306061,Hosteller,66.68319431072578,7.2151638004583045
25,ECE,4.009169683692402,6.6646420066796095,4.200355338678973,8.424924955792344,Veg,82.35095213466609,4.290825917349127,Hosteller,73.99496832477054,7.895326275772362
19,CSE,5.6772104053134225,8.083516486735874,2.9210418813524632,12.871879102271464,Veg,83.33866035848266,2.865189100934633,Hosteller,85.26736571457435,9.95862279836588
23,CSE,4.166800588300367,6.643078978931166,4.956520289022564,7.017115309200078,Veg,80.41386194718903,4.739476569025899,Hosteller,79.3846941824403,7.639703497912752
18,ECE,4.1236273107353725,7.486422939753879,5.367640834392311,4.226945386091057,Veg,86.42180736230327,2.8697306070183686,Hosteller,81.16696991237735,8.381993882273672
20,IT,2.3983812688897266,6.649872716380523,3.8800883724841833,15.210489203101355,Veg,72.75508804652796,3.6994000583456024,Hosteller,61.249338075695185,7.131241059169975
19,Mechanical,4.011648906400319,6.429729481749415,1.9043385798301768,15.749334997023007,Veg,88.23932816484205,5.943840218416515,Day Scholar,64.82732816921049,7.135685032443249
17,Civil,1.6649544247271113,6.965649903079484,2.410499530624915,9.227153804075387,Veg,63.7073709500297,1.0,Hosteller,54.13386647831384,6.578526677077806
20,ECE,3.478013503805778,5.112173899203326,7.197205691307279,8.656918943025136,Non-Veg,85.21046396144652,6.070782568041803,Hosteller,50.2506429359034,5.877923243319027
17,Civil,1.6028154923024047,6.857311093302002,2.507433139191207,9.900806319405456,Veg,63.536733416685166,1.0427518328732195,Hosteller,53.981087566295066,6.58128601332537
25,ECE,6.775389554999916,5.9572326122634625,3.2827992646249036,8.40242499250595,Veg,100.0,6.67574861238307,Day Scholar,77.97607447196043,8.782960397200364
24,Electrical,3.3470183134365987,5.28260535560369,3.006101496009959,17.900137036658755,Non-Veg,76.72566384928261,5.302822268010571,Hosteller,58.84313873182801,6.781626831967709
21,Electrical,6.520684109150775,6.702752814380462,3.9946915462814165,8.44143598025229,Veg,99.50496536970037,7.526071131720135,Hosteller,73.30993470913894,8.058517156690757
20,Civil,4.533753638399979,6.964587562578457,2.0921685708019844,11.514439533194306,Veg,79.66680626660212,3.3834013750888667,Hosteller,76.1410144246091,8.4519718783867
19,IT,5.65635279964945,5.14835101972799,2.1503599382222816,11.91126789518945,Veg,74.71335726657107,8.780123510772025,Hosteller,70.8833798855422,6.4214203227163775
23,ECE,5.255535582876565,6.676509851498855,4.060800450014052,2.468438637770393,Non-Veg,84.22349705999181,4.971420259431307,Day Scholar,67.04870814861607,7.774623729872511
25,ECE,4.372384318676588,5.662321228874212,8.185529113058324,18.133809718481963,Non-Veg,80.67336402623036,7.178363546158231,Hosteller,57.11539918011399,6.126062690627955
18,Mechanical,4.547077344135355,6.9575305561377645,5.066962863702285,8.983809772683696,Non-Veg,88.05771484690398,3.179954086316687,Hosteller,84.88804315494956,8.399414524836398
19,Civil,3.560551070239462,6.806147092765085,6.404653615788496,7.498009579764151,Veg,71.61838727594042,4.5265828168972915,Day Scholar,59.68020669810295,7.403540689349872
20,Mechanical,5.20846722673586,3.429137104657975,5.794428822389898,1.2322070747437384,Non-Veg,81.97261331374905,8.589664133065524,Day Scholar,44.318084565439854,5.782482316063575
17,IT,1.516399105765352,7.849934103149301,4.1295781840836865,8.668781517716655,Veg,67.94593381493131,1.0038014884917055,Hosteller,62.36956969490985,6.846720422258349
18,IT,2.316098213643475,5.184370339477977,3.421579480180128,12.739605178568837,Veg,70.30709298817203,4.750556852137934,Day Scholar,54.10901315490003,6.581193456527808
19,CSE,3.413416599487602,6.398090156028454,3.8816335157121618,12.740942310488684,Veg,74.16434907461968,4.710223239313241,Hosteller,53.25305375068369,6.560453977712361
17,IT,2.6428571660450233,8.048702853786883,6.07811453836648,6.984561572094115,Non-Veg,72.80569692670548,1.4861968002160235,Day Scholar,62.734157819241524,7.332116219472763
19,Mechanical,3.6198190940329216,6.399386674178292,2.5237080385447688,11.762458112188762,Non-Veg,74.89180904234073,4.502841126040135,Hosteller,70.27044704831793,6.78771593452556
17,ECE,5.444805549014931,4.905793015726457,6.884093466705632,7.603194861750438,Non-Veg,85.01627637313588,7.499238871546861,Day Scholar,67.40251002300216,7.546535473967279
17,ECE,3.4170106680762857,5.1911093095493595,8.648744736533093,2.3515253785227666,Non-Veg,78.32458273672773,5.64804994531586,Hosteller,64.70224830182035,6.793927012310155
22,ECE,4.507911474687759,6.1335796462461145,5.07324704178808,11.854599942946265,Veg,85.10462933758316,5.851001769012663,Day Scholar,68.81728249301118,8.54366638843594
19,Electrical,5.202048643785471,7.951759557962723,3.731395782415545,4.616921391903619,Non-Veg,85.23963451934401,4.963374294912305,Hosteller,54.794699719662816,7.4007171788262855
17,IT,0.7569762200923837,4.253480670942516,1.7711658091294533,5.1526524692871005,Veg,71.37430967946702,3.783432786445125,Hosteller,42.41455620845329,4.033611826501602
19,ECE,2.290024111524049,5.382633064993737,1.50048661834969,7.506682744789755,Veg,83.19277993547513,3.3572966948310063,Day Scholar,57.18590135299044,5.9186075327683305
24,Electrical,2.8110582464285767,8.462197031264434,5.609797451991056,21.045774044076584,Veg,71.18543001359004,1.608273357215131,Day Scholar,79.50831178532044,8.204021816456162
21,Civil,5.0326862134794315,7.898373587789656,2.4323452440101145,11.252042086735775,Non-Veg,84.53639570249175,3.2208462460352854,Day Scholar,67.40858114255695,7.998313643249901
20,Mechanical,3.773459145318501,6.8758104109630285,5.00607811865981,3.772507147015805,Veg,82.59483072171756,3.5079780247755834,Hosteller,65.46660883836441,7.540179233590538
23,CSE,3.4074432742738012,6.0295986261084575,4.608146081223628,5.449248071823266,Veg,81.96985408206103,3.966177941115809,Day Scholar,65.08920067295034,6.621693296708277
23,Civil,3.1541392445336243,7.456728868864439,2.9938962289035835,11.583650388430303,Veg,77.12658936300109,2.1560084739728236,Hosteller,73.54563290221215,7.529478310124366
20,Civil,4.123552054513377,5.063339036938328,8.30959117873488,14.918411463906736,Non-Veg,72.63679529688655,6.053116656712835,Hosteller,59.65736907308432,7.26097636811489
20,IT,2.5273044031397887,7.644107747571547,7.4741268777854915,0.0,Non-Veg,66.15898138007469,1.5821212089174772,Day Scholar,70.71671861052354,7.649949627038682
20,ECE,6.131876905311083,5.795017894741851,5.192036493728239,5.09077808610993,Veg,87.66712553790373,7.939556176268868,Hosteller,55.114033842624615,7.054625087395695
24,Civil,3.5343877412887403,6.292371913594301,6.740663593483184,12.883236540845084,Veg,79.60007360773514,3.7891300895042317,Hosteller,64.95897400951675,7.300037029763468
20,ECE,4.54239698441399,8.158461344855882,0.902878678256887,0.6292429160545451,Veg,79.27618951114962,2.992542375268175,Hosteller,71.81794958719958,7.864515411616848
23,Electrical,4.707130478016074,5.7114187051069125,8.239412585853122,8.712229739255516,Veg,76.57789701055177,3.965659527456705,Hosteller,69.76341430483224,7.131503405602832
23,Mechanical,2.0344245763287327,9.142652403204291,3.7673395152149984,12.473150228433266,Veg,75.47517602169489,1.030604071054981,Hosteller,61.71752973580955,7.247240328548203
19,IT,6.000760959071871,7.008796619710421,3.0214285857479948,13.146463041473869,Veg,86.12416971520572,5.889251334219421,Hosteller,63.22376133278584,7.471620908727051
19,ECE,5.9197196194667665,8.158687736775304,3.0976970021840735,2.6775843041646015,Veg,85.79706715498877,5.079093533364304,Day Scholar,67.2685522299978,8.244316010671358
25,CSE,2.082656955728793,5.336588663697298,5.210769419888873,5.373188588700271,Non-Veg,74.84426590683316,4.236056336666297,Hosteller,49.24816382165662,6.527694219199693
21,IT,2.9436714227937215,6.833483483796728,2.5106481855148717,7.82697077152798,Non-Veg,75.88084217433217,1.2016592151142027,Day Scholar,64.71280847198037,7.334823549666182
20,CSE,3.0306331871883856,5.782381297884818,8.314656242463657,11.835394234688549,Non-Veg,79.16000657995686,4.216727632208911,Day Scholar,69.44181341606476,7.178942864318972
19,Mechanical,3.6461794927635456,6.388655943107028,2.473476791634057,11.820018703335984,Non-Veg,75.70280687004085,4.4815363519191935,Hosteller,70.81270855233139,6.68366231155019
20,Civil,5.89309058946747,5.410406359143241,3.029471428937523,15.794451903354911,Veg,90.18692685765394,7.030581231819964,Day Scholar,62.37860341733713,7.238048647708352
24,Mechanical,6.320438235030379,6.215797903135018,5.9993585783329015,5.873143944092103,Non-Veg,84.26075606196062,7.684820137601309,Day Scholar,49.902248634085495,6.927494525237716
18,CSE,2.9613164214944296,7.404305724574964,8.43384021708761,13.949736263975492,Non-Veg,72.59595739456296,2.2129222066824497,Day Scholar,46.33890306562022,6.289653971437013
23,Civil,3.92484335987271,5.915295440086304,5.725781014900768,10.754408800486178,Non-Veg,74.4762566907614,5.979699466185441,Day Scholar,69.29281435004623,7.2351344800498385
22,CSE,2.0904961029175233,4.887922353785432,6.779199657072586,2.7178555180532977,Veg,75.05061183885826,2.943140662622603,Hosteller,62.06010872675401,6.791558611489113
